"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","FIRE.SEV"
"270",0,11,0,31.55,561.35,496,4
"271",0,5,3.92,37.82,716.32,439.15,2
"272",0,1,37.23,37.23,393.61,717.92,3
"273",0,1,18.57,25.47,517.99,556.11,3
"274",0,1,11.35,16,435.55,730.6,3
"275",0,1,64.77,64.77,531.12,672.52,2
"276",1,12,100.32,101.83,590.02,659.79,1
"277",0,13,12.05,123.76,675.06,602.7,1
"278",0,1,0,4.11,724.93,608.01,4
"279",0,2,251.22,251.22,675.29,494.34,1
"280",1,5,87.73,90.16,608.05,541.88,2
"281",1,7,7.58,87.88,775.51,401.81,2
"282",0,9,30.17,48.22,541.64,781.35,2
"283",1,9,70.18,70.18,753.69,409.84,2
"284",0,5,28.48,69.89,490.06,867.75,3
"285",0,11,0.91,0.91,461.61,886.28,4
"286",0,15,86.44,90.71,840.22,490.93,1
"287",0,2,79.49,79.49,524.6,652.67,2
"288",0,2,97.07,108.9,597.99,657.62,2
"289",0,2,18.57,115.22,576.46,607.03,1
"290",0,1,36.29,36.29,637.06,638.31,1
"291",0,2,9.52,26.72,517.08,668.97,1
"292",1,10,0,24.7,724.29,498.05,4
"293",0,10,0,17.14,701.77,515.03,4
"294",1,11,71.37,92.48,552.45,732.98,4
"295",0,11,27.06,106.85,750.46,505.89,1
"296",0,11,4.66,11.09,809.76,449.98,3
"297",1,10,1.97,19.38,699.98,558.81,4
"298",1,11,3.53,6.34,754.59,483.57,3
"299",0,10,0,12.45,786.37,489.36,3
"300",0,10,0,3.76,787.82,491.37,3
"301",0,11,3.48,17.69,744.85,523.53,3
"302",0,10,0,3.65,808.51,505.25,4
"303",0,10,70.53,93.71,811.27,505.5,2
"304",0,12,8.3,83.66,732.03,567.93,1
"305",0,4,0,90.31,792.16,566.84,3
"306",0,9,0,0,471.42,508.16,2
"307",1,9,41.65,47.99,369.68,536.79,2
"308",0,22,0.8,18.68,378.88,743.47,1
"309",0,23,16.46,102.08,515.55,725.74,1
"310",0,24,18.62,18.62,562.62,713.83,3
"311",0,4,29.12,29.12,587.39,593.23,1
"312",1,19,35.28,35.28,446.33,917.18,1
"313",0,20,0,0,620.5,527.48,4
"314",0,1,0,0,414.7,753.32,1
"315",1,11,44.89,78.68,335.45,897.52,2
"316",0,6,13.79,53.22,357.47,773.86,2
"317",0,1,0,0,391.79,646.04,3
"318",0,6,0,0,368.21,736.92,4
"319",1,11,66.68,166.12,289.86,891.86,1
"320",0,8,91.27,91.27,400.82,610.18,2
"321",0,27,51.83,64.96,458.11,590.88,3
"322",0,6,39.29,46.9,400.2,707.78,1
"323",0,13,3.75,14.87,337.49,779.2,2
"324",0,6,19.7,126.34,404.02,689.15,NA
"325",0,7,40.48,85.18,324.8,837.58,2
"326",0,1,26.23,41.71,549.5,440.71,NA
"327",0,12,7.09,32.6,290.22,621.52,2
"328",0,27,23.76,23.76,570.68,424.2,1
"329",0,12,20.14,36.95,329.42,583.67,2
"330",0,4,96.09,132.9,417.29,659.88,1
"331",0,5,57.9,158.96,367.32,764.45,2
"332",0,5,31.67,55.31,488.92,597.67,1
"333",0,6,24.28,43.18,382.59,744.14,1
"334",0,12,1.34,42.97,287.48,986.1,1
"335",0,5,33.72,56.31,435.34,685.24,1
"336",0,7,0,0,464.26,481.72,3
"337",0,11,0,0,518.45,489.59,2
"338",0,13,0,0,401.55,607.79,2
"339",0,10,51.74,62.83,372.9,521.89,2
"340",1,11,35.43,35.43,438.74,483.73,1
"341",1,11,0,0,425.55,491.81,4
"342",0,5,0,0,554.43,372.7,4
"343",0,1,0,0,567.5,372.62,NA
"344",0,10,0,0,348.32,601.27,2
"345",0,9,4.75,4.75,538.25,318.54,3
"346",0,9,0,0,540.97,320.91,4
"347",0,4,28.82,53.47,206.08,585.37,2
"348",1,28,50.24,50.24,479.66,332.95,2
"349",1,28,30.58,30.58,528.19,358.46,1
"350",0,27,11.11,11.11,527.89,355.23,2
"351",0,2,0,0,548.72,328.78,NA
"352",0,27,53.22,53.22,531.86,353.69,2
"353",0,24,10.91,10.91,558.48,349.45,NA
"354",0,8,0,0,560.67,359.91,2
"355",0,9,5.46,5.46,339.45,654.51,2
"356",0,11,0,0,366.22,524.28,1
"357",0,6,20.13,21.09,575.67,337.94,2
"358",1,24,0.85,0.85,457.68,385.95,3
"359",0,5,1.79,5.91,438.98,503.33,2
"360",0,5,0,0,291.53,542.52,2
"361",0,5,0,0,428.17,436.15,2
