"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","def59_z_13","REBURN","FIRE.SEV"
"515","0",8,0,0,427.44,504.15,-0.206666673223178,"Y",4
"516","0",12,40.64,40.64,454.14,652.48,0.226666649182638,"Y",2
"517","0",8,0,0,516.73,514.9,-0.356666655590137,"Y",4
"518","0",3,32.52,62.7,486.63,777.25,0.3900000055631,"Y",3
"519","0",3,35.21,39.25,403.93,579.27,0.57000000650684,"Y",2
"520","0",3,8.57,8.57,512.39,484.42,0.489999997119109,"Y",4
"521","1",13,24.37,28.02,795.09,488.08,0.869999984900157,"Y",2
"522","1",20,113.58,113.58,607.67,623.33,-0.273333330949148,"Y",2
"523","0",4,9.83,27.44,411.83,667.22,0.0366666677097479,"Y",1
"524","0",6,35.51,36.73,751.21,414.14,0.299999992052714,"Y",1
"525","0",11,30.09,123.07,626.01,750.32,-0.0233333210150401,"Y",3
"526","1",18,100.81,111.21,489.25,730.26,-0.266666665673256,"Y",1
"527","1",13,16.49,30.52,723.51,506.67,0.820000012715658,"Y",4
"528","0",4,0,0,506.88,703.98,-0.0500000007450581,"Y",4
"529","1",7,2.1,78.67,712.07,563.64,0.386666670441628,"Y",2
"530","0",4,22.73,82.82,443.54,655.76,-0.0200000032782555,"Y",2
"531","0",4,0,45.19,429.85,708.02,0.120000004768372,"Y",2
"533","0",7,0,162.82,748.54,620.25,0.396666668355465,"Y",1
"534","0",4,60.38,107.83,557.17,567.87,-0.0699999978144964,"Y",2
"535","0",9,75.04,75.04,546,515.74,0.469999998807907,"Y",3
"536","0",19,0,4.19,609.78,428.3,-1.27666666110357,"Y",4
"537","0",15,30.42,64.62,605.71,458.87,1.15000001589457,"Y",2
"538","0",5,129.12,133.84,520.38,636.29,0.496666659911474,"Y",2
"539","0",3,21.07,21.07,562.27,571.17,-0.706666668256124,"Y",3
"540","0",17,61.16,65.02,613.51,487,-0.123333354791005,"Y",2
"541","0",3,17.24,45.78,795.2,452.82,-0.796666671832403,"Y",1
"542","0",8,8.72,8.72,595.85,515.58,-0.0933333237965902,"Y",2
"543","0",1,56.06,91.16,583.71,646.07,-0.796666661898295,"Y",1
"544","0",1,38.11,110.67,503.6,721.61,-0.800000001986822,"Y",2
"545","1",1,80.95,104.13,421.68,793.33,-0.766666680574417,"Y",1
"546","0",1,97.9,111.12,712.9,489.82,-0.80333333214124,"Y",2
"547","0",1,0,0,345.02,873.16,-0.610000019272169,"Y",3
"548","0",1,26.66,44.78,449.6,725.9,-0.623333320021629,"Y",1
"549","0",1,80.95,109.21,538.18,604.31,-0.680000007152557,"Y",2
"550","0",1,0,5.29,433.77,772.43,-0.636666665474574,"Y",1
"551","0",1,56.3,77.48,583.13,533.3,-0.72666667898496,"Y",1
"552","0",1,54.57,77.92,744.65,474.95,-0.796666651964188,"Y",1
"553","0",1,61.3,68.02,830.76,450.08,-0.796666671832403,"Y",2
"554","0",1,37.44,37.44,496.96,628.44,-0.663333356380463,"Y",2
"555","0",1,75.03,112.84,589.96,576.78,-0.683333327372869,"Y",1
"556","0",1,30.31,94.99,646.66,604.79,-0.759999990463257,"Y",2
"557","0",1,23.45,26.47,643.03,615.12,-0.763333310683568,"Y",1
"558","0",1,77.98,111.65,547.74,645.43,-0.699999988079071,"Y",2
"560","0",1,2.48,124.7,386.8,714.23,-0.676666657129923,"Y",2
"561","0",11,60.8,137.23,492.66,808.85,0.726666649182638,"N",1
